,brief_title,conditions,date_processed,enrollment,id,intervention,location_countries,overall_status,sponsors,start_date,study_type,title
487,Checkpoint Blockade in COVID-19 Pandemic,"COVID; PNEUMONIA, VIRAL","February 08, 2021",24,NCT04335305,TOCILIZUMAB; PEMBROLIZUMAB (MK-3475),SPAIN,Recruiting,MedSIR,"April 9, 2020",Interventional,"A Randomized, Controlled, Open-Label, Phase II Trial to Evaluate the Efficacy and Safety of Tocilizumab Combined With Pembrolizumab (MK-3475) in Patients With Coronavirus Disease 2019 (COVID-19)-Pneumonia"
488,"Pragmatic Factorial Trial of Hydroxychloroquine, Azithromycin, or Both for Treatment of Severe SARS-CoV-2 Infection",SARS-CoV2,"February 08, 2021",11,NCT04335552,STANDARD OF CARE; HYDROXYCHLOROQUINE; AZITHROMYCIN,UNITED STATES,Terminated,Duke University,"April 17, 2020",Interventional,"Pragmatic Factorial Trial of Hydroxychloroquine, Azithromycin, or Both for Treatment of Severe SARS-CoV-2 Infection"
489,Cardiovascular Manifestations of COVID-19,CARDIOVASCULAR DISEASES; COVID,"February 08, 2021",500,NCT04335630,"ELECTROCARDIOGRAM, TELEMETRY, ECHOCARDIOGRAM, LABORATORY VALUES",UNITED STATES,Recruiting,Memorial Hermann Health System,"March 30, 2020",Observational,Cardiovascular Manifestations of Hospitalized Patients With Coronavirus Disease 2019
490,COVID-19 Infection in Vulnerable Patients With Inflammatory Rheumatic Diseases,RHEUMATOID ARTHRITIS; PSORIATIC ARTHRITIS; AXIAL SPONDYLOARTHRITIS; SYSTEMIC LUPUS ERYTHEMATOSUS; GIANT CELL ARTERITIS,"February 08, 2021",333,NCT04335747,COVID-19 INFECTION,DENMARK,Recruiting,Salome Kristensen,"April 23, 2020",Observational,COVID-19 Infection in Vulnerable Patients With Inflammatory Rheumatic Diseases
491,"COVID-19 in Hospitalised Norwegian Children - Risk Factors, Outcomes and Immunology",PEDIATRIC RESPIRATORY DISEASES; COVID; FATIGUE POST VIRAL,"February 08, 2021",350,NCT04335773,,NORWAY,Recruiting,"University Hospital, Akershus","April 3, 2020",Observational [Patient Registry],"COVID-19 in Hospitalised Norwegian Children - Risk Factors, Outcomes and Immunology"
492,Valsartan for Prevention of Acute Respiratory Distress Syndrome in Hospitalized Patients With SARS-COV-2 (COVID-19) Infection Disease,ACUTE RESPIRATORY DISTRESS SYNDROME; SARS-CoV2; COVID; COVID; SEVERE ACUTE RESPIRATORY SYNDROME,"February 08, 2021",651,NCT04335786,VALSARTAN (DIOVAN); PLACEBO ORAL TABLET,NETHERLANDS,Recruiting,Radboud University,"April 17, 2020",Interventional,"PRAETORIAN-COVID: A Double-blind, Placebo-controlled Randomized Clinical Trial With Valsartan for PRevention of Acute rEspiraTORy dIstress Syndrome in hospitAlized patieNts With SARS-COV-2 (COVID-19) Infection Disease"
493,Video-Based Exercises and Well-Being During Social Isolation,SOCIAL ISOLATION; PHYSICAL INACTIVITY; WELL-BEING,"February 08, 2021",68,NCT04335851,VIDEO BASED AEROBIC EXERCISE,TURKEY,Completed,Biruni University,"April 6, 2020",Interventional,Effectiveness of Video-Based Exercises on Physical and Emotional Well-Being During COVID-19 Induced Social Isolation
494,Rutgers COVID-19 Cohort Study,CORONAVIRUS; SARS-CoV2,"February 08, 2021",750,NCT04336215,NON-INTERVENTIONAL,UNITED STATES,Recruiting,"Rutgers, The State University of New Jersey","April 7, 2020",Observational,"Cohort Study of SARS-CoV-2 Incidence, Transmission, and Disease Severity in Healthcare Workers"
495,Safety and Efficacy Study of Allogeneic Human Dental Pulp Mesenchymal Stem Cells to Treat Severe COVID-19 Patients,COVID,"February 08, 2021",20,NCT04336254,ALLOGENEIC HUMAN DENTAL PULP STEM CELLS (BSH BTC & UTOOTH BTC); INTRAVENOUS SALINE INJECTION (PLACEBO),CHINA,Recruiting,Renmin Hospital of Wuhan University,"April 6, 2020",Interventional,"Safety and Efficacy Study of Allogeneic Human Dental Pulp Mesenchymal Stem Cells to Treat Severe Pneumonia of COVID-19：a Single-center, Prospective, Randomised Clinical Trial"
496,Randomized Comparison of Combination Azithromycin and Hydroxychloroquine vs. Hydroxychloroquine Alone for the Treatment of Confirmed COVID-19,SARS-CoV2; COVID,"February 08, 2021",160,NCT04336332,HYDROXYCHLOROQUINE SULFATE + AZITHROMYCIN; HYDROXYCHLOROQUINE SULFATE,UNITED STATES,Recruiting,"Rutgers, The State University of New Jersey","April 1, 2020",Interventional,Randomized Comparison of Combination Azithromycin and Hydroxychloroquine vs. Hydroxychloroquine Alone for the Treatment of Confirmed COVID-19
497,Outcomes of Patients With COVID-19 in the Intensive Care Unit,CORONAVIRUS INFECTION; COVID; VIRAL PNEUMONIA HUMAN CORONAVIRUS,"February 08, 2021",150,NCT04336345,,MEXICO,Completed,Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,"April 1, 2020",Observational [Patient Registry],Outcomes of Patients With COVID-19 in the Intensive Care Unit: A National Observational Study (Mexico COVID-19 ICU Study)
498,Impact of Covid-19 in Congenital Heart Disease,CONGENITAL HEART DISEASE; COVID,"February 08, 2021",5000,NCT04336384,,FRANCE,Completed,"University Hospital, Montpellier","March 1, 2020",Observational,Impact of Covid-19 in Congenital Heart Disease - COVID-CHD
499,"Safety, Tolerability and Immunogenicity of INO-4800 for COVID-19 in Healthy Volunteers",CORONAVIRUS INFECTION,"February 08, 2021",120,NCT04336410,INO-4800; CELLECTRA® 2000,UNITED STATES,"Active, not recruiting",Inovio Pharmaceuticals,"April 3, 2020",Interventional,"Phase 1 Open-label Study to Evaluate the Safety, Tolerability and Immunogenicity of INO-4800, a Prophylactic Vaccine Against SARS-CoV-2, Administered Intradermally Followed by Electroporation in Healthy Volunteers"
500,Hydrogen-Oxygen Generator With Nebulizer in the Improvement of Symptoms in Patients Infected With COVID-19,COVID,"February 08, 2021",100,NCT04336462,OXYHYDROGEN; OXYGEN,CHINA,Recruiting,Shanghai Asclepius Meditec Inc.,"February 15, 2020",Interventional,"A Multi-center, Randomized, Parallel-Controlled Clinical Trial of the Application of A Hydrogen-Oxygen Generator With Nebulizer in the Improvement of Symptoms in Patients Infected With COVID-19"
501,Corona-Like Illness: Did we Got it Before WHO Announcement of the Disease?,COVID,"February 08, 2021",100,NCT04336657,QUESTIONNAIRE; IGG,EGYPT,Recruiting,Assiut University,April 2020,Observational,COVID-19-Like Illness: Did we Have Unusual Severe Respiratory Tract Infections October-December 2019 Before WHO Announcement ?
502,HCQ for Primary Prophylaxis Against COVID19 in Health-care Workers,SARS-CoV2; INFECTION VIRAL; HEALTHCARE WORKER; PROPHYLAXIS,"February 08, 2021",440,NCT04336748,HYDROXYCHLOROQUINE,,Not yet recruiting,Medical University of Vienna,April 2020,Interventional,"Low-dose Hydroxychloroquine for Primary Prophylaxis Against SARS-CoV-2 in Health-care Workers - a Randomized, Double-blind, Controlled Trial"
503,Prevalence of Covid-19 in Children Admitted to Paediatric Emergency Departments During the Pandemic Period in France,CORONAVIRUS; COVID; INFECTION VIRAL,"February 08, 2021",914,NCT04336761,NASOPHARYNGEAL SWAB,FRANCE,Recruiting,"University Hospital, Lille","April 15, 2020",Observational,Prevalence of Covid-19 in Children Admitted to Paediatric Emergency Departments During the Pandemic Period in France
504,CAPTION AI to Minimize Risk of COVID Exposure,COVID,"February 08, 2021",0,NCT04336774,CAPTION AI,UNITED STATES,Withdrawn,Duke University,July 2020,Interventional,Use of Caption AI to Perform a Clinically Indicated Transthoracic Echocardiogram in Patients Being Evaluated for or Positive for COVID-19
505,"Physical Activity Level, Stress Level, Sleep Quality in Pregnant Women During Covid-19 Quarantine",COVID; CORONAVIRUS INFECTION; PREGNANCY RELATED,"February 08, 2021",100,NCT04336787,SURVEY,TURKEY,Not yet recruiting,Istanbul Kültür University,"April 12, 2020",Observational,"Determination Of Physical Activity, Sleep And Stress Level Of Pregnant Women In The Covıd-19 Quarantine Period"
506,Clinical Study To Evaluate The Performance And Safety Of Favipiravir in COVID-19,COVID,"February 08, 2021",100,NCT04336904,FAVIPIRAVIR; PLACEBO,ITALY,"Active, not recruiting",Giuliano Rizzardini,"March 25, 2020",Interventional,"A Multi-center, Randomized, Double-blind, Placebo-controlled, Phase III Clinical Study Evaluating the Efficacy and Safety of Favipiravir in the Treatment of Patients With COVID-19-Moderate Type"
507,Covid-19 Pediatric Observatory,COVID,"February 08, 2021",250,NCT04336956,HOSPITALIZED CHILDREN WITH COVID19,FRANCE,Recruiting,Centre Hospitalier Intercommunal Creteil,"April 7, 2020",Observational [Patient Registry],Covid-19 Pediatric Observatory
508,Renin Angiotensin System - CoronaVirus,COVID,"February 08, 2021",50,NCT04337008,BLOOD DRAW,FRANCE,Recruiting,Assistance Publique Hopitaux De Marseille,"April 3, 2020",Interventional,Renin Angiotensin System - CoronaVirus
509,Distress in Crisis Situations During COVID-19,"STRESS, PSYCHOLOGICAL","February 08, 2021",2000,NCT04337047,QUESTIONNAIRE ASSESMENT,FRANCE,Completed,Wefight,"March 31, 2020",Observational,Distress During the COVID-19 Pandemic in France: a National Assessment of At-risk Populations
510,Blood Titanium Analysis of Patients With MAGEC Spine Rods in the COVID-19 Environment,MAGEC ROD,"February 08, 2021",100,NCT04337151,MAGEC SPINE ROD; TITANIUM BLOOD TEST,UNITED KINGDOM,Recruiting,Royal National Orthopaedic Hospital NHS Trust,April 2020,Observational,Blood Titanium Analysis of Patients With MAGEC Spine Rods in the COVID-19 Environment
511,Impact of Angiotensin II Receptor Blockers Treatment in Patients With COVID 19 (COVID-ARA2),COVID; ACUTE RESPIRATORY DISTRESS SYNDROME,"February 08, 2021",100,NCT04337190,BLOOD SAMPLING,FRANCE,Recruiting,"University Hospital, Angers","April 3, 2020",Observational,Impact of Previous Treatment With Angiotensin II Receptor Blockers in Patients With SARS-Cov2 Infection Admitted to the Intensive Care Unit on Survival and Severity of the Disease (COVID-ARA2)
512,"Maternal And Neonatal Outcome of Pregnant Patients With COVID-19 in Istanbul, Turkey: A Single-Center, Retrospective, Descriptive Study",COVID; MATERNAL-FETAL RELATIONS,"February 08, 2021",40,NCT04337320,NEWBORNS FROM COVID 19 POSITIVE MOTHERS,TURKEY,Completed,Kanuni Sultan Suleyman Training and Research Hospital,"March 15, 2020",Observational,Maternal And Neonatal Outcome of Pregnant Patients With COVID-19
513,Evaluation of Covid 19 Anxiety in Endometriosis Patients,ENDOMETRIOSIS; COVID,"February 08, 2021",80,NCT04337346,,TURKEY,Completed,Kanuni Sultan Suleyman Training and Research Hospital,"April 5, 2020",Observational [Patient Registry],Endometriosis Patients Covid 19 Anxiety
514,Ruxolitinib Managed Access Program (MAP) for Patients Diagnosed With Severe/Very Severe COVID-19 Illness,SEVERE/VERY SEVERE COVID ILLNESS,"February 08, 2021",,NCT04337359,RUXOLITINIB,,No longer available,Novartis Pharmaceuticals,,Expanded Access,Ruxolitinib Managed Access Program (MAP) for Patients Diagnosed With Severe/Very Severe COVID-19 Illness
515,Evaluation of Quickly Diagnostic Saliva Tests for SARS-CoV-2,SARS-CoV2,"February 08, 2021",627,NCT04337424,SAMPLING SALIVARY,FRANCE,Completed,"University Hospital, Montpellier","April 13, 2020",Observational,Evaluation of Quickly Diagnostic Saliva Tests for SARS-CoV-2
516,Remote Monitoring Use In Cases Of Suspected COVID-19 (Coronavirus),CORONAVIRUS,"February 08, 2021",200,NCT04337489,SENSIUMVITALS WEARABLE SENSOR,,Not yet recruiting,Imperial College London,"July 28, 2020",Observational,REmote MOniToring usE in Suspected Cases of COVID-19 (Coronavirus): REMOTE-COVID Trial
517,Clinical and Radiomic Model of COVID-19,CORONAVIRUS; MACHINE LEARNING,"February 08, 2021",300,NCT04337502,MACHINE LEARNING MODEL,CHINA,Completed,Maastricht University,"December 23, 2019",Observational,A Clinical and Radiological Model to Predict the Prognosis for COVID-19 Patients
518,Reduction in COVID-19 Infection Using Surgical Facial Masks Outside the Healthcare System,COVID,"February 08, 2021",6000,NCT04337541,SURGICAL FACIAL MASK,DENMARK,Completed,"Rigshospitalet, Denmark","April 2, 2020",Interventional,Reduction in COVID-19 Infection Using Surgical Facial Masks Outside the Healthcare System
519,Beat COVID-19 - Observational Trial,COVID,"February 08, 2021",100000,NCT04337762,,UNITED STATES,Recruiting,Beat COVID LLC,"April 6, 2020",Observational,A Virtual Observational Protocol to Gain Longitudinal Data in Participants to Help Understand COVID-19 Spread and Disease Progression
520,Gerontological Telemonitoring of Older Adults Living in Nursing Homes With COVID-19 Disease,CORONAVIRUS INFECTION,"February 08, 2021",200,NCT04337788,TELEHEALTH APPLICATIONS,,Not yet recruiting,"University Hospital, Limoges",May 2020,Interventional,Gerontological Telemonitoring of Older Adults Living in Nursing Homes With Symptoms of Confirmed or Probable COVID-19 Disease
521,Nitric Oxide Releasing Solutions to Prevent and Treat Mild/Moderate COVID-19 Infection,CORONAVIRUS INFECTION,"February 08, 2021",143,NCT04337918,NORS (NITRIC OXIDE RELEASING SOLUTION); NORS (NITRIC OXIDE RELEASING SOLUTION),CANADA,"Active, not recruiting",Sanotize Research and Development corp.,"May 8, 2020",Interventional,"Multi-Center, Randomized, Controlled, Phase II Clinical Efficacy Study Evaluating Nitric Oxide Releasing Solution Treatment for the Prevention and Treatment of COVID-19 in Healthcare Workers and Individuals at Risk of Infection"
522,Hemodynamic Characteristics of Patients With SARS-CoV-2,CORONAVIRUS; SARS-CoV2; COVID; ACUTE RESPIRATORY DISTRESS SYNDROME; SHOCK; ACUTE CIRCULATORY FAILURE; LEFT VENTRICULAR DYSFUNCTION; FLUID OVERLOAD,"February 08, 2021",200,NCT04337983,TRANSPULMONARY THERMODILUTION; ECHOCARDIOGRAPHY,FRANCE,Recruiting,Bicetre Hospital,"March 13, 2020",Observational,Hemodynamic Characteristics of Patients With SARS-CoV-2: PiCCOVID Study
523,Dynamic Evaluation of COVID-19 Diagnostic Tests,COVID,"February 08, 2021",8,NCT04337996,COVID-19 DIAGNOSTIC TEST,FRANCE,Completed,Tourcoing Hospital,"July 13, 2020",Interventional,Dynamic Evaluation of COVID-19 Diagnostic Tests
524,Elimination or Prolongation of ACE Inhibitors and ARB in Coronavirus Disease 2019,COVID,"February 08, 2021",152,NCT04338009,DISCONTINUATION OF ARB/ACEI; CONTINUATION OF ARB/ACEI,UNITED STATES,Enrolling by invitation,University of Pennsylvania,"March 31, 2020",Interventional,The Randomized Elimination or Prolongation of Angiotensin Converting Enzyme Inhibitors and Angiotensin Receptor Blockers in Coronavirus Disease 2019
525,TXA and Corona Virus 2019 (COVID19) in Outpatients,COVID,"February 08, 2021",100,NCT04338074,TRANEXAMIC ACID TABLETS; PLACEBO ORAL TABLET,UNITED STATES,Recruiting,University of Alabama at Birmingham,"June 1, 2020",Interventional,Exploratory Studies of the Effect of Tranexamic Acid Treatment on the Progression of COVID19 in Outpatients
526,Point Of Care UltraSonography for Risk-stratification of COVID-19 Patients,COVID; CORONAVIRUS INFECTION,"February 08, 2021",300,NCT04338100,FOLLOW-UP AT 14 DAYS,,Not yet recruiting,"University Hospital, Angers","April 6, 2020",Observational,Point Of Care UltraSonography to Perform Risk-stratification of Patients With Suspected or Confirmed COVID-19 - POCUSCO Study
527,Tranexamic Acid (TXA) and Corona Virus 2019 (COVID19) in Inpatients,COVID,"February 08, 2021",60,NCT04338126,TRANEXAMIC ACID; PLACEBO ORAL TABLET,UNITED STATES,Not yet recruiting,University of Alabama at Birmingham,"September 30, 2021",Interventional,Exploratory Studies of the Effect of Tranexamic Acid Treatment on the Progression of COVID19 in Inpatients
528,CAP-1002 in Severe COVID-19 Disease,COVID,"February 08, 2021",,NCT04338347,CAP-1002 ALLOGENEIC CARDIOSPHERE-DERIVED CELLS,UNITED STATES,No longer available,Capricor Inc.,,Expanded Access,CAP-1002 Treatment in Patients With Severe COVID-19 and in Critical Condition as Indicated by Life Support Measurements
529,Expanded Access to Convalescent Plasma for the Treatment of Patients With COVID-19,COVID,"February 08, 2021",,NCT04338360,COVID-19 CONVALESCENT PLASMA,UNITED STATES,Approved for marketing,Mayo Clinic,,Expanded Access,Expanded Access to Convalescent Plasma for the Treatment of Patients With COVID-19
530,Screening COVID-19 by Point-of-care Lung Ultrasound: a Validation Study,COVID PNEUMONIA; LUNG ULTRASOUND,"February 08, 2021",50,NCT04338568,LUNG ULTRASOUND,BELGIUM,Recruiting,Hasselt University,"April 16, 2020",Interventional,Accuracy and Inter-observer Variability of Lung Ultrasound in COVID-19 Pneumonia
531,The Impact of the Covid-19 Outbreak on Emergency Room Attendances of Surgical Patients,"EMERGENCY SERVICE, HOSPITAL; GENERAL SURGERY","February 08, 2021",10000,NCT04338672,COVID-19 PANDEMIC,ISRAEL,Recruiting,Sheba Medical Center,"April 5, 2020",Observational,The Impact of the Coronavirus Disease 2019 (Covid-19) Outbreak on Emergency Room Attendances of Surgical Patients at a Tertiary Medical Center
532,"Hydroxychloroquine, Oseltamivir and Azithromycin for the Treatment of COVID-19 Infection: An RCT",COVID,"February 08, 2021",500,NCT04338698,HYDROXYCHLOROQUINE; OSELTAMIVIR; AZITHROMYCIN,PAKISTAN,Recruiting,Shehnoor Azhar,"April 22, 2020",Interventional,Pakistan Randomized and Observational Trial to Evaluate Coronavirus Treatment
533,Efficacy and Safety of Nintedanib in the Treatment of Pulmonary Fibrosis in Patients With Moderate to Severe COVID -19,COVID; NINTEDANIB; SAFETY; EFFECT OF DRUGS,"February 08, 2021",96,NCT04338802,NINTEDANIB 150 MG; PLACEBO,,Not yet recruiting,Huilan Zhang,"April 2, 2020",Interventional,"Efficacy and Safety of Nintedanib Ethanesulfonate Soft Capsule in the Treatment of Pulmonary Fibrosis in Patients With Moderate to Severe COVID-9(COVID 19) : a Single-center, Randomized, Placebo-controlled Study"
534,Nitric Oxide Inhalation Therapy for COVID-19 Infections in the ED,COVID,"February 08, 2021",260,NCT04338828,NITRIC OXIDE GAS; INHALED SUPPLEMENTAL OXYGEN,UNITED STATES,Recruiting,Massachusetts General Hospital,"April 18, 2020",Interventional,Nitric Oxide Inhalation Therapy for COVID-19 Infections in the Emergency Department
