,condition,date_processed,enrollment,id,intervention,location_countries,overall_status,sponsors,start_date,study_type,title,study_topic
466,TELEREHABILITATION,"February 08, 2021",30,NCT04334434,TELEREHABILITATION,TURKEY,Completed,"Kubra Koce, MSc PT","July 30, 2020",Interventional,Investigation Of The Effectiveness Of The Telerehabilitation Applied To Individuals Over The Age Of 65 Who Experience Social Isolation At Houses Due To The Coronavirus (Covid-19) Pandemic,Unrelated
467,SARS-CoV2,"February 08, 2021",120,NCT04334460,BLD-2660,BRAZIL,"Active, not recruiting",Blade Therapeutics,"May 4, 2020",Interventional,"Phase 2, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Safety and Antiviral Activity of BLD-2660 in Hospitalized Subjects With Recently Diagnosed COVID-19 Compared to Standard of Care Treatment",COVID
468,COVID,"February 08, 2021",600,NCT04334512,HYDROXYCHLOROQUINE,UNITED STATES,Recruiting,ProgenaBiome,"June 22, 2020",Interventional,"A Randomized, Double-Blind, Placebo-Controlled Phase IIa Study of Quintuple Therapy to Treat COVID-19 Infection",COVID
469,CORONAVIRUS,"February 08, 2021",230,NCT04334629,IBUPROFEN,UNITED KINGDOM,Recruiting,King's College London,"May 26, 2020",Interventional,"Lipid Ibuprofen Versus Standard of Care for Acute Hypoxemic Respiratory Failure Due to COVID-19: a Multicentre, Randomised, Controlled Trial",COVID
470,COVID,"February 08, 2021",194,NCT04334850,COMBINED USE OF A RESPIRATORY BROAD PANEL MULTIPLEX PCR AND PROCALCITONIN,FRANCE,Recruiting,Assistance Publique - Hôpitaux de Paris,"April 20, 2020",Interventional,"Use of a Respiratory Multiplex PCR and Procalcitonin to Reduce Antibiotics Exposure in Patients With Severe Confirmed COVID-19 Pneumonia : a Multicenter, Parallel-group, Open-label, Randomized Controlled Trial",COVID
471,SARS-CoV2,"February 08, 2021",340,NCT04334876,SARS-COV-2 IGG ANTIBODY TESTING KIT,,Not yet recruiting,Indiana University,"April 1, 2020",Observational,Rapid SARS-CoV-2 IgG Antibody Testing in High Risk Healthcare Workers and Candidacy for Convalescent Plasma Therapy/Prophylaxis,COVID
472,CORONAVIRUS INFECTION,"February 08, 2021",4000,NCT04334928,EMTRICITABINE/TENOFOVIR DISOPROXIL,SPAIN,Recruiting,Plan Nacional sobre el Sida (PNS),"April 15, 2020",Interventional,Prevention of SARS-CoV-2 (COVID-19) Through Pre-Exposure Prophylaxis With Tenofovir Disoproxil Fumarate/Emtricitabine and Hydroxychloroquine in Healthcare Personnel: Randomized Clinical Trial Controlled With Placebo,COVID
473,SARS-CoV2 VIRUS,"February 08, 2021",15000,NCT04334954,,UNITED STATES,Recruiting,National Institute of Allergy and Infectious Diseases (NIAID),"August 26, 2020",Observational,SARS-COV2 Pandemic Serosurvey and Blood Sampling,COVID
474,COVID,"February 08, 2021",13,NCT04334967,HYDROXYCHLOROQUINE,UNITED STATES,Suspended,Providence Health & Services,"March 30, 2020",Interventional,Randomized Study to Evaluate the Safety and Antiviral Efficacy of Hydroxychloroquine in Patients With Newly Diagnosed COVID-19 Compared to Standard of Care Treatment,COVID
475,COVID,"February 08, 2021",24,NCT04334980,BACTRL-SPIKE,AUSTRALIA,Recruiting,Symvivo Corporation,"November 2, 2020",Interventional,"A Phase 1, Randomized, Observer-Blind, Placebo-Controlled Trial to Evaluate the Safety, Tolerability and Immunogenicity of the bacTRL-Spike Oral Candidate Vaccine for the Prevention of COVID-19 in Healthy Adults",COVID
476,2019-NCOV (COVID),"February 08, 2021",300,NCT04335019,PULMONARY ULTRASOUND,,Not yet recruiting,Assistance Publique - Hôpitaux de Paris,April 2020,Observational,Interest of the Use of Pulmonary Ultrasound in the Referral of Patients With or Suspected COVID-19 +,COVID
477,SARS-CoV2,"February 08, 2021",284,NCT04335032,EICOSAPENTAENOIC ACID GASTRO-RESISTANT CAPSULES,,Not yet recruiting,S.L.A. Pharma AG,"November 9, 2020",Interventional,"A Randomised, Double-blind, Placebo Controlled Study of Eicosapentaenoic Acid (EPA-FFA) Gastro-resistant Capsules to Treat Hospitalised Subjects With Confirmed SARS-CoV-2",COVID
478,SARS-CoV2 INFECTION,"February 08, 2021",5,NCT04335071,TOCILIZUMAB (TCZ),SWITZERLAND,Terminated,"University Hospital Inselspital, Berne","April 26, 2020",Interventional,"CORON-ACT - a Multicenter, Double-blind, Randomized Controlled Phase II Trial on the Efficacy and Safety of Tocilizumab in the Treatment of Coronavirus Induced Disease (COVID-19)",COVID
479,COVID,"February 08, 2021",600,NCT04335084,HYDROXYCHLOROQUINE,UNITED STATES,Recruiting,ProgenaBiome,"June 22, 2020",Interventional,"A Randomized, Double-Blind, Placebo-Controlled Phase IIa Study of Hydroxychloroquine, Vitamin C, Vitamin D, and Zinc for the Prevention of COVID-19 Infection",COVID
480,COVID,"February 08, 2021",214,NCT04335097,BIOSENSORS,NORWAY,Recruiting,Lars Wik,"April 22, 2020",Interventional,"Sensor Based Vital Signs Monitoring of Patients With Clinical Manifestation of Covid 19 Disease During Home Isolation, a Randomized Feasibility Study",COVID
481,COVID,"February 08, 2021",34,NCT04335123,LOSARTAN,UNITED STATES,Completed,University of Kansas Medical Center,"April 4, 2020",Interventional,An Open Label Phase 1 Trial of Losartan for Worsening Respiratory Illness in COVID-19,COVID
482,COVID,"February 08, 2021",200,NCT04335136,RHACE2 APN01,AUSTRIA,Completed,Apeiron Biologics,"April 30, 2020",Interventional,Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19,COVID
483,COVID,"February 08, 2021",100,NCT04335162,,FRANCE,Recruiting,Centre Hospitalier Universitaire de Nice,"February 28, 2020",Observational,Cardiovascular Complications in Patients With COVID-19,COVID
484,COVID,"February 08, 2021",4000,NCT04335188,PROSPECTIVE OBERSERVATIONAL REGISTRY,GERMANY,Recruiting,IHF GmbH - Institut für Herzinfarktforschung,"April 6, 2020",Observational,"COVID-19 Registry Rhineland-Palatinate (Germany) - COVID-19 Disease Registry a National, Multicentre, Non-interventional, Prospective Observational Study",COVID
485,PATIENTS WITH COVID PNEUMONIA WILL ALLOW TO DETECT AN ABSOLUTE REDUCTION IN THE RATE OF RESPIRATORY-FAILURE,"February 08, 2021",50,NCT04335201,DEFIBROTIDE INJECTION,,Not yet recruiting,IRCCS San Raffaele,"April 6, 2020",Interventional,Use of Defibrotide to Reduce Progression of Acute Respiratory Failure Rate in Patients With COVID-19 Pneumonia,COVID
486,SCLERODERMA,"February 08, 2021",172,NCT04335279,SPIN-CHAT PROGRAM,CANADA,Completed,Lady Davis Institute,"April 9, 2020",Interventional,A Partially Nested RCT to Evaluate the Effectiveness of the Scleroderma Patient-centered Intervention Network COVID-19 Home-isolation Activities Together (SPIN-CHAT) Program to Reduce Anxiety Among At-Risk Scleroderma Patients,Unrelated
487,COVID,"February 08, 2021",24,NCT04335305,TOCILIZUMAB,SPAIN,Recruiting,MedSIR,"April 9, 2020",Interventional,"A Randomized, Controlled, Open-Label, Phase II Trial to Evaluate the Efficacy and Safety of Tocilizumab Combined With Pembrolizumab (MK-3475) in Patients With Coronavirus Disease 2019 (COVID-19)-Pneumonia",COVID
488,SARS-CoV2,"February 08, 2021",11,NCT04335552,STANDARD OF CARE,UNITED STATES,Terminated,Duke University,"April 17, 2020",Interventional,"Pragmatic Factorial Trial of Hydroxychloroquine, Azithromycin, or Both for Treatment of Severe SARS-CoV-2 Infection",COVID
489,CARDIOVASCULAR DISEASES,"February 08, 2021",500,NCT04335630,"ELECTROCARDIOGRAM, TELEMETRY, ECHOCARDIOGRAM, LABORATORY VALUES",UNITED STATES,Recruiting,Memorial Hermann Health System,"March 30, 2020",Observational,Cardiovascular Manifestations of Hospitalized Patients With Coronavirus Disease 2019,Unrelated
490,RHEUMATOID ARTHRITIS,"February 08, 2021",333,NCT04335747,COVID-19 INFECTION,DENMARK,Recruiting,Salome Kristensen,"April 23, 2020",Observational,COVID-19 Infection in Vulnerable Patients With Inflammatory Rheumatic Diseases,Unrelated
491,PEDIATRIC RESPIRATORY DISEASES,"February 08, 2021",350,NCT04335773,,NORWAY,Recruiting,"University Hospital, Akershus","April 3, 2020",Observational [Patient Registry],"COVID-19 in Hospitalised Norwegian Children - Risk Factors, Outcomes and Immunology",Respiratory
492,ACUTE RESPIRATORY DISTRESS SYNDROME,"February 08, 2021",651,NCT04335786,VALSARTAN (DIOVAN),NETHERLANDS,Recruiting,Radboud University,"April 17, 2020",Interventional,"PRAETORIAN-COVID: A Double-blind, Placebo-controlled Randomized Clinical Trial With Valsartan for PRevention of Acute rEspiraTORy dIstress Syndrome in hospitAlized patieNts With SARS-COV-2 (COVID-19) Infection Disease",Respiratory
493,SOCIAL ISOLATION,"February 08, 2021",68,NCT04335851,VIDEO BASED AEROBIC EXERCISE,TURKEY,Completed,Biruni University,"April 6, 2020",Interventional,Effectiveness of Video-Based Exercises on Physical and Emotional Well-Being During COVID-19 Induced Social Isolation,Unrelated
494,CORONAVIRUS,"February 08, 2021",750,NCT04336215,NON-INTERVENTIONAL,UNITED STATES,Recruiting,"Rutgers, The State University of New Jersey","April 7, 2020",Observational,"Cohort Study of SARS-CoV-2 Incidence, Transmission, and Disease Severity in Healthcare Workers",COVID
495,COVID,"February 08, 2021",20,NCT04336254,ALLOGENEIC HUMAN DENTAL PULP STEM CELLS (BSH BTC & UTOOTH BTC),CHINA,Recruiting,Renmin Hospital of Wuhan University,"April 6, 2020",Interventional,"Safety and Efficacy Study of Allogeneic Human Dental Pulp Mesenchymal Stem Cells to Treat Severe Pneumonia of COVID-19：a Single-center, Prospective, Randomised Clinical Trial",COVID
496,SARS-CoV2,"February 08, 2021",160,NCT04336332,HYDROXYCHLOROQUINE SULFATE + AZITHROMYCIN,UNITED STATES,Recruiting,"Rutgers, The State University of New Jersey","April 1, 2020",Interventional,Randomized Comparison of Combination Azithromycin and Hydroxychloroquine vs. Hydroxychloroquine Alone for the Treatment of Confirmed COVID-19,COVID
497,CORONAVIRUS INFECTION,"February 08, 2021",150,NCT04336345,,MEXICO,Completed,Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,"April 1, 2020",Observational [Patient Registry],Outcomes of Patients With COVID-19 in the Intensive Care Unit: A National Observational Study (Mexico COVID-19 ICU Study),COVID
498,CONGENITAL HEART DISEASE,"February 08, 2021",5000,NCT04336384,,FRANCE,Completed,"University Hospital, Montpellier","March 1, 2020",Observational,Impact of Covid-19 in Congenital Heart Disease - COVID-CHD,Unrelated
499,CORONAVIRUS INFECTION,"February 08, 2021",120,NCT04336410,INO-4800,UNITED STATES,"Active, not recruiting",Inovio Pharmaceuticals,"April 3, 2020",Interventional,"Phase 1 Open-label Study to Evaluate the Safety, Tolerability and Immunogenicity of INO-4800, a Prophylactic Vaccine Against SARS-CoV-2, Administered Intradermally Followed by Electroporation in Healthy Volunteers",COVID
500,COVID,"February 08, 2021",100,NCT04336462,OXYHYDROGEN,CHINA,Recruiting,Shanghai Asclepius Meditec Inc.,"February 15, 2020",Interventional,"A Multi-center, Randomized, Parallel-Controlled Clinical Trial of the Application of A Hydrogen-Oxygen Generator With Nebulizer in the Improvement of Symptoms in Patients Infected With COVID-19",COVID
501,COVID,"February 08, 2021",100,NCT04336657,QUESTIONNAIRE,EGYPT,Recruiting,Assiut University,April 2020,Observational,COVID-19-Like Illness: Did we Have Unusual Severe Respiratory Tract Infections October-December 2019 Before WHO Announcement ?,COVID
502,SARS-CoV2,"February 08, 2021",440,NCT04336748,HYDROXYCHLOROQUINE,,Not yet recruiting,Medical University of Vienna,April 2020,Interventional,"Low-dose Hydroxychloroquine for Primary Prophylaxis Against SARS-CoV-2 in Health-care Workers - a Randomized, Double-blind, Controlled Trial",COVID
503,CORONAVIRUS,"February 08, 2021",914,NCT04336761,NASOPHARYNGEAL SWAB,FRANCE,Recruiting,"University Hospital, Lille","April 15, 2020",Observational,Prevalence of Covid-19 in Children Admitted to Paediatric Emergency Departments During the Pandemic Period in France,COVID
504,COVID,"February 08, 2021",0,NCT04336774,CAPTION AI,UNITED STATES,Withdrawn,Duke University,July 2020,Interventional,Use of Caption AI to Perform a Clinically Indicated Transthoracic Echocardiogram in Patients Being Evaluated for or Positive for COVID-19,COVID
505,COVID,"February 08, 2021",100,NCT04336787,SURVEY,TURKEY,Not yet recruiting,Istanbul Kültür University,"April 12, 2020",Observational,"Determination Of Physical Activity, Sleep And Stress Level Of Pregnant Women In The Covıd-19 Quarantine Period",COVID
506,COVID,"February 08, 2021",100,NCT04336904,FAVIPIRAVIR,ITALY,"Active, not recruiting",Giuliano Rizzardini,"March 25, 2020",Interventional,"A Multi-center, Randomized, Double-blind, Placebo-controlled, Phase III Clinical Study Evaluating the Efficacy and Safety of Favipiravir in the Treatment of Patients With COVID-19-Moderate Type",COVID
507,COVID,"February 08, 2021",250,NCT04336956,HOSPITALIZED CHILDREN WITH COVID19,FRANCE,Recruiting,Centre Hospitalier Intercommunal Creteil,"April 7, 2020",Observational [Patient Registry],Covid-19 Pediatric Observatory,COVID
508,COVID,"February 08, 2021",50,NCT04337008,BLOOD DRAW,FRANCE,Recruiting,Assistance Publique Hopitaux De Marseille,"April 3, 2020",Interventional,Renin Angiotensin System - CoronaVirus,COVID
509,"STRESS, PSYCHOLOGICAL","February 08, 2021",2000,NCT04337047,QUESTIONNAIRE ASSESMENT,FRANCE,Completed,Wefight,"March 31, 2020",Observational,Distress During the COVID-19 Pandemic in France: a National Assessment of At-risk Populations,Unrelated
510,MAGEC ROD,"February 08, 2021",100,NCT04337151,MAGEC SPINE ROD,UNITED KINGDOM,Recruiting,Royal National Orthopaedic Hospital NHS Trust,April 2020,Observational,Blood Titanium Analysis of Patients With MAGEC Spine Rods in the COVID-19 Environment,Unrelated
511,COVID,"February 08, 2021",100,NCT04337190,BLOOD SAMPLING,FRANCE,Recruiting,"University Hospital, Angers","April 3, 2020",Observational,Impact of Previous Treatment With Angiotensin II Receptor Blockers in Patients With SARS-Cov2 Infection Admitted to the Intensive Care Unit on Survival and Severity of the Disease (COVID-ARA2),COVID
512,COVID,"February 08, 2021",40,NCT04337320,NEWBORNS FROM COVID 19 POSITIVE MOTHERS,TURKEY,Completed,Kanuni Sultan Suleyman Training and Research Hospital,"March 15, 2020",Observational,Maternal And Neonatal Outcome of Pregnant Patients With COVID-19,COVID
513,ENDOMETRIOSIS,"February 08, 2021",80,NCT04337346,,TURKEY,Completed,Kanuni Sultan Suleyman Training and Research Hospital,"April 5, 2020",Observational [Patient Registry],Endometriosis Patients Covid 19 Anxiety,Unrelated
514,SEVERE/VERY SEVERE COVID ILLNESS,"February 08, 2021",,NCT04337359,RUXOLITINIB,,No longer available,Novartis Pharmaceuticals,,Expanded Access,Ruxolitinib Managed Access Program (MAP) for Patients Diagnosed With Severe/Very Severe COVID-19 Illness,COVID
515,SARS-CoV2,"February 08, 2021",627,NCT04337424,SAMPLING SALIVARY,FRANCE,Completed,"University Hospital, Montpellier","April 13, 2020",Observational,Evaluation of Quickly Diagnostic Saliva Tests for SARS-CoV-2,COVID
516,CORONAVIRUS,"February 08, 2021",200,NCT04337489,SENSIUMVITALS WEARABLE SENSOR,,Not yet recruiting,Imperial College London,"July 28, 2020",Observational,REmote MOniToring usE in Suspected Cases of COVID-19 (Coronavirus): REMOTE-COVID Trial,COVID
517,CORONAVIRUS,"February 08, 2021",300,NCT04337502,MACHINE LEARNING MODEL,CHINA,Completed,Maastricht University,"December 23, 2019",Observational,A Clinical and Radiological Model to Predict the Prognosis for COVID-19 Patients,COVID
518,COVID,"February 08, 2021",6000,NCT04337541,SURGICAL FACIAL MASK,DENMARK,Completed,"Rigshospitalet, Denmark","April 2, 2020",Interventional,Reduction in COVID-19 Infection Using Surgical Facial Masks Outside the Healthcare System,COVID
519,COVID,"February 08, 2021",100000,NCT04337762,,UNITED STATES,Recruiting,Beat COVID LLC,"April 6, 2020",Observational,A Virtual Observational Protocol to Gain Longitudinal Data in Participants to Help Understand COVID-19 Spread and Disease Progression,COVID
520,CORONAVIRUS INFECTION,"February 08, 2021",200,NCT04337788,TELEHEALTH APPLICATIONS,,Not yet recruiting,"University Hospital, Limoges",May 2020,Interventional,Gerontological Telemonitoring of Older Adults Living in Nursing Homes With Symptoms of Confirmed or Probable COVID-19 Disease,COVID
521,CORONAVIRUS INFECTION,"February 08, 2021",143,NCT04337918,NORS (NITRIC OXIDE RELEASING SOLUTION),CANADA,"Active, not recruiting",Sanotize Research and Development corp.,"May 8, 2020",Interventional,"Multi-Center, Randomized, Controlled, Phase II Clinical Efficacy Study Evaluating Nitric Oxide Releasing Solution Treatment for the Prevention and Treatment of COVID-19 in Healthcare Workers and Individuals at Risk of Infection",COVID
522,CORONAVIRUS,"February 08, 2021",200,NCT04337983,TRANSPULMONARY THERMODILUTION,FRANCE,Recruiting,Bicetre Hospital,"March 13, 2020",Observational,Hemodynamic Characteristics of Patients With SARS-CoV-2: PiCCOVID Study,COVID
523,COVID,"February 08, 2021",8,NCT04337996,COVID-19 DIAGNOSTIC TEST,FRANCE,Completed,Tourcoing Hospital,"July 13, 2020",Interventional,Dynamic Evaluation of COVID-19 Diagnostic Tests,COVID
524,COVID,"February 08, 2021",152,NCT04338009,DISCONTINUATION OF ARB/ACEI,UNITED STATES,Enrolling by invitation,University of Pennsylvania,"March 31, 2020",Interventional,The Randomized Elimination or Prolongation of Angiotensin Converting Enzyme Inhibitors and Angiotensin Receptor Blockers in Coronavirus Disease 2019,COVID
525,COVID,"February 08, 2021",100,NCT04338074,TRANEXAMIC ACID TABLETS,UNITED STATES,Recruiting,University of Alabama at Birmingham,"June 1, 2020",Interventional,Exploratory Studies of the Effect of Tranexamic Acid Treatment on the Progression of COVID19 in Outpatients,COVID
